facility_type,monthly_energy_kwh,renewable_energy_pct,peak_load_factor,facility_area_sqm,operational_days_year,equipment_efficiency_rating,logistics_distance_km,fuel_consumed_liters,waste_recycled_pct,water_usage_m3,annual_carbon_footprint_mt,energy_intensity_kwh_sqm,eco_composite_score,sustainability_tier
Healthcare,1148555.9,25.3,0.85,27042.3,365,3.26,14687.9,4270.2,34.3,11127.1,4955.27,509.7,25.3,High Risk (Tier D)
Healthcare,464700.2,16.8,0.77,10562.4,365,4.59,6188.8,1451.2,46.7,9736.1,2381.84,527.9,36.4,Moderate (Tier C)
Logistics Hub,880622.3,36.1,0.62,74819.3,320,2.76,30222.0,16993.2,55.9,7102.1,5312.72,141.2,49.1,Moderate (Tier C)
Data Center,844613.3,94.4,0.94,18182.1,360,4.86,3541.9,1092.9,76.9,3775.1,448.83,557.4,71.6,Efficient (Tier B)
Manufacturing,1266167.0,56.0,0.68,30600.0,350,2.48,35201.7,7526.5,70.5,32368.6,3378.48,496.5,43.4,Moderate (Tier C)
Commercial Office,213585.7,66.4,0.64,20372.5,240,3.12,4546.7,1847.1,31.0,2697.0,995.49,125.8,56.3,Efficient (Tier B)
Data Center,1429248.2,35.3,0.74,33953.9,360,4.47,2940.1,1262.6,71.1,17147.3,5103.49,505.1,50.9,Moderate (Tier C)
Manufacturing,2256817.7,55.9,0.79,54777.5,250,2.23,23462.3,2112.0,84.5,28594.5,5779.23,494.4,45.5,Moderate (Tier C)
Commercial Office,65067.0,66.6,0.73,4777.0,240,3.22,6067.6,2056.3,49.4,1359.0,294.57,163.5,58.7,Efficient (Tier B)
Manufacturing,1383082.5,30.8,0.85,45015.2,300,1.9,34829.4,4429.8,41.3,52319.7,6224.53,368.7,26.3,High Risk (Tier D)
Healthcare,373386.3,63.2,0.87,13508.9,365,4.79,6788.0,3132.8,52.6,16133.3,1136.96,331.7,56.5,Efficient (Tier B)
Data Center,660482.8,44.2,0.87,16745.8,365,3.06,1251.0,526.4,88.1,7244.3,1875.76,473.3,50.4,Moderate (Tier C)
Commercial Office,295174.1,75.4,0.49,16283.1,260,3.79,4705.0,1548.4,42.5,4932.8,855.2,217.5,70.3,Efficient (Tier B)
Data Center,1262621.6,80.1,0.72,29751.5,360,4.39,3856.7,1967.5,68.6,9696.2,1894.13,509.3,62.0,Efficient (Tier B)
Commercial Office,120997.8,89.9,0.71,12457.0,240,2.7,2154.6,1535.7,85.7,3994.9,191.47,116.6,73.5,Efficient (Tier B)
Commercial Office,277835.9,70.5,0.67,19991.8,260,2.91,5644.3,2478.7,86.8,6480.7,587.41,166.8,68.7,Efficient (Tier B)
Manufacturing,741330.7,41.3,0.89,23190.9,350,1.87,5967.7,11980.4,39.4,12656.7,3142.23,383.6,31.6,High Risk (Tier D)
Healthcare,1133583.4,37.5,0.76,42805.1,365,4.55,12945.1,1767.7,46.6,54915.0,4507.37,317.8,49.3,Moderate (Tier C)
Logistics Hub,143189.4,25.8,0.65,23676.2,320,4.32,50109.6,4098.4,37.9,1455.0,1282.35,72.6,50.8,Moderate (Tier C)
Healthcare,980040.4,26.5,0.77,22756.9,365,2.83,5675.7,1031.9,35.2,10011.1,4005.83,516.8,33.2,High Risk (Tier D)
Healthcare,1647210.0,61.2,0.74,37123.7,365,3.66,12982.3,2194.3,22.6,21235.5,4514.18,532.5,44.6,Moderate (Tier C)
Commercial Office,307069.0,64.8,0.57,19351.6,260,3.45,3105.1,2259.6,87.6,2061.9,713.79,190.4,66.7,Efficient (Tier B)
Healthcare,1247308.7,25.4,0.66,28726.2,365,3.64,5382.1,4600.3,56.0,42498.3,5636.59,521.0,34.4,High Risk (Tier D)
Manufacturing,731125.9,55.4,0.74,22876.3,250,4.36,43694.2,4196.2,47.2,7316.6,2319.47,383.5,50.8,Moderate (Tier C)
Manufacturing,560198.0,43.4,0.76,15774.6,250,2.41,21159.1,8510.5,59.8,15972.3,2102.03,426.2,30.5,High Risk (Tier D)
Manufacturing,998048.9,33.8,0.73,24699.6,250,4.35,38999.0,10028.3,62.3,17686.5,4179.94,484.9,47.5,Moderate (Tier C)
Data Center,580635.7,38.9,0.83,21363.0,360,3.71,4901.3,1629.2,88.0,10646.3,1892.51,326.2,54.8,Moderate (Tier C)
Data Center,1100247.7,30.3,0.89,21345.4,365,3.41,4450.2,1783.2,64.8,15418.8,4407.35,618.5,39.3,Moderate (Tier C)
Data Center,1797289.9,77.9,0.71,34549.7,365,3.19,2046.5,708.4,60.5,15009.7,2418.25,624.2,50.2,Moderate (Tier C)
Logistics Hub,450964.9,65.5,0.43,44360.3,280,4.43,24169.5,11326.6,64.7,4765.5,1647.06,122.0,72.6,Efficient (Tier B)
Data Center,1272231.2,24.1,0.8,24037.5,360,4.79,2840.9,1005.7,73.7,12852.6,4792.56,635.1,49.2,Moderate (Tier C)
Data Center,896390.6,65.6,0.74,15893.0,360,3.28,1409.1,531.6,48.4,11703.5,1910.64,676.8,44.7,Moderate (Tier C)
Commercial Office,238065.4,51.4,0.48,14329.1,260,2.77,6048.0,867.2,33.0,5681.8,1017.15,199.4,48.5,Moderate (Tier C)
Manufacturing,1410733.2,41.9,0.9,57137.1,300,2.95,11489.3,2151.3,66.8,45925.6,5212.08,296.3,47.0,Moderate (Tier C)
Logistics Hub,439553.2,63.2,0.66,72866.8,280,3.17,28342.0,16854.9,89.3,5257.3,1702.99,72.4,69.1,Efficient (Tier B)
Manufacturing,2369588.1,12.9,0.69,68584.2,300,4.01,40192.9,8305.2,25.7,35657.4,12396.24,414.6,26.8,High Risk (Tier D)
Healthcare,1055581.6,44.6,0.88,34605.9,365,4.28,4486.4,3991.6,60.6,30420.5,4027.92,366.0,49.4,Moderate (Tier C)
Logistics Hub,1076326.3,14.9,0.49,67402.7,280,2.75,45428.0,8551.5,40.5,12622.2,7035.21,191.6,31.8,High Risk (Tier D)
Manufacturing,1431589.4,30.2,0.85,65622.9,350,2.01,18615.2,12396.6,24.5,32416.2,7967.47,261.8,29.5,High Risk (Tier D)
Manufacturing,1624190.5,68.5,0.83,59605.1,250,3.87,36537.9,9979.8,63.6,31844.5,4041.51,327.0,60.0,Efficient (Tier B)
Logistics Hub,331347.7,66.2,0.56,51428.6,320,2.95,32172.5,5803.9,58.7,6817.0,1731.84,77.3,66.7,Efficient (Tier B)
Logistics Hub,169441.8,62.8,0.41,16170.0,320,3.06,53625.4,8091.1,78.3,3753.9,815.63,125.7,65.1,Efficient (Tier B)
Logistics Hub,283249.8,25.3,0.65,16170.4,365,3.76,38970.4,12891.2,37.2,2263.3,1995.16,210.2,44.2,Moderate (Tier C)
Logistics Hub,163763.4,31.0,0.42,19442.2,280,3.44,28556.9,12377.0,74.6,2127.9,1177.63,101.1,55.2,Efficient (Tier B)
Manufacturing,552570.2,42.2,0.86,13129.3,250,2.69,18616.2,13868.3,74.5,11337.9,2157.52,505.0,37.6,Moderate (Tier C)
Data Center,542638.4,60.9,0.77,13558.7,360,4.71,2846.5,314.6,46.3,9475.2,1302.08,480.3,52.5,Moderate (Tier C)
Manufacturing,680880.4,10.8,0.8,16100.7,250,1.97,43233.0,2301.7,79.2,14893.3,3494.47,507.5,30.0,High Risk (Tier D)
Healthcare,590265.7,57.3,0.74,25184.0,365,3.13,4217.6,5730.2,55.2,22408.0,2025.54,281.3,52.2,Moderate (Tier C)
Commercial Office,206126.6,70.8,0.53,20939.9,260,3.62,5391.7,2381.3,57.9,5867.3,757.21,118.1,68.1,Efficient (Tier B)
Data Center,660218.5,49.9,0.76,24023.1,365,3.08,3218.3,1833.3,64.8,8247.5,2060.2,329.8,41.5,Moderate (Tier C)
Manufacturing,1372049.2,8.5,0.74,40743.1,250,3.08,28634.7,8444.1,74.2,43543.1,6599.4,404.1,31.8,High Risk (Tier D)
Data Center,1060265.3,43.7,0.82,30317.7,365,4.14,2807.0,728.3,44.8,23012.7,3852.85,419.7,39.9,Moderate (Tier C)
Data Center,681479.8,48.3,0.79,23512.0,365,4.15,633.5,1415.8,91.1,5335.2,1898.3,347.8,53.6,Moderate (Tier C)
Logistics Hub,259141.5,76.9,0.66,25738.3,280,3.93,42355.7,8331.2,79.3,5527.5,937.66,120.8,71.6,Efficient (Tier B)
Commercial Office,34560.3,64.9,0.47,2043.8,240,4.41,804.2,2191.8,77.0,361.8,154.81,202.9,67.0,Efficient (Tier B)
Healthcare,725396.0,55.0,0.8,32518.6,365,3.9,13704.2,2902.0,42.7,24492.6,2708.65,267.7,55.0,Efficient (Tier B)
Commercial Office,342552.4,80.5,0.76,20090.7,240,2.52,5270.7,2291.9,72.1,5701.2,669.67,204.6,62.5,Efficient (Tier B)
Manufacturing,750437.2,39.0,0.62,17836.3,300,2.18,5468.3,7064.4,57.5,10087.1,2918.0,504.9,29.7,High Risk (Tier D)
Logistics Hub,117747.0,69.6,0.6,17843.0,365,3.43,51752.5,4943.4,54.2,2274.6,824.28,79.2,64.7,Efficient (Tier B)
Logistics Hub,241600.7,74.2,0.7,20045.0,320,3.39,50927.1,15513.9,55.9,4440.2,1282.87,144.6,66.4,Efficient (Tier B)
Commercial Office,176500.1,27.4,0.58,10928.3,240,2.56,3447.3,1362.0,67.0,2770.4,873.08,193.8,45.1,Moderate (Tier C)
Logistics Hub,266953.7,15.0,0.73,17910.6,365,2.55,44062.0,12916.6,54.6,2115.6,1944.25,178.9,37.3,Moderate (Tier C)
Commercial Office,187279.0,27.6,0.66,10714.1,260,4.44,4851.7,1443.3,88.2,1409.7,791.54,209.8,54.9,Moderate (Tier C)
Commercial Office,182097.0,27.0,0.64,8397.6,240,3.38,792.5,174.3,26.5,1817.2,1006.05,260.2,35.4,Moderate (Tier C)
Data Center,1136480.1,47.8,0.77,27686.4,365,4.67,2166.8,874.6,94.7,13411.4,3238.26,492.6,65.8,Efficient (Tier B)
Manufacturing,802009.0,15.8,0.78,45449.8,300,2.85,20420.5,6084.6,56.0,35781.1,4469.1,211.8,34.1,High Risk (Tier D)
Manufacturing,1711548.2,40.5,0.85,45210.8,350,2.76,38072.6,10508.2,64.0,20772.3,6424.08,454.3,39.1,Moderate (Tier C)
Manufacturing,1009091.1,39.2,0.76,25277.4,250,3.37,10567.9,7328.5,46.1,21829.9,3732.17,479.0,44.1,Moderate (Tier C)
Commercial Office,606231.4,78.9,0.67,29827.8,240,4.32,3960.8,1854.0,71.2,4307.0,1062.69,243.9,69.6,Efficient (Tier B)
Data Center,954429.2,77.2,0.85,32208.3,360,4.44,2900.2,1765.9,46.9,8966.5,1791.88,355.6,65.6,Efficient (Tier B)
Commercial Office,287479.6,71.6,0.76,24237.9,260,4.73,7618.3,1331.0,57.0,3104.9,921.03,142.3,70.6,Efficient (Tier B)
Healthcare,619575.8,31.7,0.78,19190.6,365,3.93,7735.9,3949.9,59.9,27070.4,2672.54,387.4,36.1,Moderate (Tier C)
Manufacturing,1954196.1,12.6,0.73,68139.4,350,3.86,27941.2,13472.6,75.5,32736.0,10047.47,344.2,38.4,Moderate (Tier C)
Data Center,993125.4,28.8,0.92,18174.5,365,3.62,1652.2,255.4,80.4,14229.2,3924.08,655.7,40.3,Moderate (Tier C)
Logistics Hub,1102856.9,66.3,0.41,64568.8,365,3.89,21049.6,8191.5,46.7,7860.8,3509.06,205.0,55.3,Efficient (Tier B)
Manufacturing,1036062.9,8.1,0.6,23695.8,350,2.34,44785.9,3077.7,42.2,7158.2,5454.15,524.7,18.4,High Risk (Tier D)
Manufacturing,872986.5,12.3,0.6,51138.9,250,4.02,37367.3,12613.1,45.9,47560.8,5640.96,204.9,45.1,Moderate (Tier C)
Data Center,929280.6,90.6,0.87,26694.5,365,3.13,2069.7,399.8,44.0,18284.2,1083.62,417.7,52.0,Moderate (Tier C)
Manufacturing,2211296.0,10.1,0.69,72082.5,250,3.15,36780.6,10485.0,46.2,24883.1,12084.88,368.1,26.7,High Risk (Tier D)
Healthcare,488466.1,29.3,0.72,18925.7,365,4.41,14080.0,2906.5,46.2,26434.0,2387.68,309.7,49.4,Moderate (Tier C)
Logistics Hub,395679.7,60.4,0.74,29691.9,280,2.93,33725.5,14634.6,82.0,2600.1,1575.74,159.9,59.4,Efficient (Tier B)
Commercial Office,286855.7,75.3,0.64,14710.5,260,4.07,2314.5,1813.5,60.9,5101.0,686.01,234.0,67.9,Efficient (Tier B)
Healthcare,642246.7,47.8,0.84,27246.3,365,3.34,8457.0,2278.2,23.0,14909.5,2467.95,282.9,36.7,Moderate (Tier C)
Logistics Hub,581146.2,50.8,0.4,63661.9,320,4.07,47176.7,12308.8,58.0,14587.8,2872.36,109.5,60.2,Efficient (Tier B)
Manufacturing,1388193.3,45.0,0.62,32124.1,350,4.03,10197.2,8779.8,79.0,34690.6,4301.41,518.6,49.8,Moderate (Tier C)
Healthcare,1310714.1,43.9,0.74,42890.4,365,4.67,10776.8,1403.3,71.2,19151.5,4369.04,366.7,57.8,Efficient (Tier B)
Commercial Office,447704.2,86.3,0.5,25639.0,240,4.14,5497.9,2418.5,70.7,8417.6,724.18,209.5,70.8,Efficient (Tier B)
Logistics Hub,218949.7,40.3,0.67,34373.4,280,2.6,31202.3,17395.2,57.5,5158.8,1677.15,76.4,49.0,Moderate (Tier C)
Healthcare,459555.0,61.0,0.74,15728.7,365,2.9,11978.4,2965.8,31.7,20516.4,1690.4,350.6,42.9,Moderate (Tier C)
Data Center,1026643.3,89.1,0.92,24720.6,365,4.59,3893.1,264.7,46.9,10799.0,1036.84,498.4,64.3,Efficient (Tier B)
Manufacturing,2561864.8,9.1,0.62,57911.3,300,2.34,40608.6,5448.9,27.2,36542.4,13860.68,530.9,13.9,High Risk (Tier D)
Manufacturing,1002422.8,71.4,0.85,43531.0,300,2.45,41442.7,12059.2,22.0,40851.5,3549.25,276.3,43.1,Moderate (Tier C)
Data Center,990223.9,67.6,0.93,27086.0,360,3.02,2588.4,1934.3,57.2,13852.3,2127.27,438.7,51.0,Moderate (Tier C)
Logistics Hub,982775.1,35.7,0.58,65309.4,320,4.21,40891.0,5069.4,40.9,8262.7,5175.34,180.6,48.2,Moderate (Tier C)
Healthcare,682479.9,44.1,0.74,24113.8,365,4.28,4902.4,4137.7,56.5,24782.1,2459.55,339.6,51.3,Moderate (Tier C)
Manufacturing,1888676.1,15.7,0.8,45644.8,350,4.04,29245.9,5493.7,78.5,22201.0,8824.95,496.5,38.6,Moderate (Tier C)
Commercial Office,462257.9,85.7,0.66,21883.8,240,4.22,4053.6,238.8,76.0,8476.4,530.38,253.5,76.9,Leader (Tier A)
Data Center,1530528.9,86.2,0.94,34739.8,360,4.55,1422.4,1506.1,86.6,19865.7,1466.95,528.7,71.4,Efficient (Tier B)
Manufacturing,709897.5,28.6,0.89,30484.6,350,2.24,30712.8,11718.3,67.1,35138.2,3546.72,279.4,39.9,Moderate (Tier C)
Manufacturing,757233.3,14.4,0.81,45022.8,300,2.2,5313.7,9571.1,82.3,31646.8,3715.89,201.8,37.3,Moderate (Tier C)
Data Center,699103.3,56.5,0.83,20889.8,365,4.92,3294.1,1871.6,49.9,13714.4,2141.52,401.6,56.7,Efficient (Tier B)
Healthcare,849462.1,69.7,0.87,24968.1,365,3.76,13669.8,4306.6,49.0,13749.9,2198.21,408.3,53.8,Moderate (Tier C)
Data Center,805431.8,58.4,0.73,16755.7,360,4.9,4976.7,1481.1,54.3,13215.0,2011.2,576.8,57.2,Efficient (Tier B)
Commercial Office,232185.2,41.6,0.48,14235.9,260,2.53,606.4,2090.5,70.4,4550.3,929.73,195.7,47.6,Moderate (Tier C)
Logistics Hub,707475.7,42.1,0.74,40688.4,280,4.21,49789.0,8340.0,76.9,3922.7,2759.8,208.7,60.2,Efficient (Tier B)
Data Center,1748574.4,29.4,0.91,33805.0,360,3.02,540.7,842.7,74.9,25547.0,6438.92,620.7,32.3,High Risk (Tier D)
Healthcare,454747.6,38.9,0.86,16216.8,365,4.26,3240.2,3029.3,56.4,7007.1,1737.49,336.5,53.7,Moderate (Tier C)
Healthcare,337135.0,32.3,0.75,12384.6,365,4.64,14912.3,1033.5,41.6,15321.1,1518.7,326.7,44.2,Moderate (Tier C)
Data Center,1578797.1,58.8,0.94,27627.9,365,3.55,3299.2,1986.4,62.9,11929.6,3696.62,685.7,48.1,Moderate (Tier C)
Commercial Office,530711.7,17.7,0.76,25723.6,260,2.73,4294.7,630.0,36.4,2872.8,2845.72,247.6,28.0,High Risk (Tier D)
Data Center,1081598.0,81.4,0.94,31003.1,365,4.44,3035.0,969.5,47.9,12271.1,1711.78,418.6,61.6,Efficient (Tier B)
Data Center,1013878.9,27.4,0.91,17903.1,365,3.84,4011.6,1057.4,72.5,8925.1,4138.65,679.6,43.4,Moderate (Tier C)
Manufacturing,551298.3,33.7,0.86,22098.8,300,1.99,7760.3,13289.4,72.7,16711.8,2685.1,299.4,36.7,Moderate (Tier C)
Commercial Office,321366.7,18.4,0.69,25403.1,260,3.31,6685.9,1337.6,43.9,6071.0,1823.26,151.8,35.1,Moderate (Tier C)
Commercial Office,378515.8,88.0,0.64,28068.3,240,2.5,3624.2,1354.0,39.7,3266.9,942.21,161.8,57.9,Efficient (Tier B)
Manufacturing,718071.4,49.8,0.67,29772.9,350,1.94,12644.7,5721.0,47.0,28538.9,2952.9,289.4,39.6,Moderate (Tier C)
Data Center,1286876.7,86.7,0.92,27772.1,365,4.43,4175.5,526.9,84.4,11735.5,1127.51,556.0,69.4,Efficient (Tier B)
Healthcare,1726760.5,52.6,0.75,44439.8,365,3.98,10593.2,1208.0,29.2,44393.0,5726.06,466.3,42.7,Moderate (Tier C)
Manufacturing,1974885.3,14.1,0.89,60741.1,300,3.1,19468.4,13390.5,56.4,52780.6,10426.8,390.2,28.6,High Risk (Tier D)
Manufacturing,2202384.4,37.3,0.65,60747.6,250,4.32,38100.3,10366.5,79.9,57278.5,7998.34,435.1,45.0,Moderate (Tier C)
Commercial Office,390488.8,64.9,0.75,21448.7,240,2.57,889.2,441.2,35.2,3518.0,1275.0,218.5,51.5,Moderate (Tier C)
Healthcare,484998.5,40.4,0.82,12398.4,365,3.67,9141.0,2422.3,41.3,11539.8,1855.83,469.4,34.8,High Risk (Tier D)
Manufacturing,1067120.9,21.4,0.83,68927.2,350,1.83,33148.0,13643.1,65.8,47828.2,6133.15,185.8,35.9,Moderate (Tier C)
Commercial Office,389366.2,87.1,0.79,24879.6,240,3.49,2816.3,1257.4,71.4,3372.4,586.65,187.8,67.8,Efficient (Tier B)
Logistics Hub,611241.7,57.1,0.71,76910.4,280,2.81,28940.5,8060.6,77.8,17249.7,2385.21,95.4,65.1,Efficient (Tier B)
Manufacturing,886864.7,43.4,0.77,26280.4,350,4.25,5486.3,10088.2,38.7,9110.2,3679.33,405.0,45.0,Moderate (Tier C)
Logistics Hub,335025.4,34.9,0.62,34940.5,280,3.36,54509.3,12477.1,35.0,3474.0,2499.63,115.1,47.1,Moderate (Tier C)
Data Center,730897.9,63.7,0.72,15003.9,360,3.75,4750.0,1355.1,50.9,9045.7,1717.61,584.6,51.7,Moderate (Tier C)
Commercial Office,253877.4,48.8,0.49,13713.3,240,3.25,7559.5,2295.4,88.5,1418.6,799.73,222.2,53.3,Moderate (Tier C)
Commercial Office,76580.6,44.8,0.79,4887.4,240,4.2,5784.2,1114.5,42.2,996.8,376.88,188.0,54.5,Moderate (Tier C)
Commercial Office,114399.8,27.9,0.54,7749.3,260,3.76,5673.3,445.5,85.2,2159.0,489.17,177.2,52.0,Moderate (Tier C)
Manufacturing,403086.3,72.6,0.81,14441.7,350,3.48,30940.2,5208.8,36.3,4528.9,1146.43,334.9,54.5,Moderate (Tier C)
Logistics Hub,836158.2,18.2,0.61,58941.7,280,3.55,26228.6,4028.3,56.9,4999.2,4505.27,170.2,46.3,Moderate (Tier C)
Data Center,758469.7,44.7,0.93,23367.7,365,3.41,3144.1,1462.1,40.8,14209.2,2756.81,389.5,41.3,Moderate (Tier C)
Manufacturing,1081985.4,20.0,0.74,47890.2,250,2.4,34029.0,9407.0,63.2,46236.4,5924.76,271.1,33.2,High Risk (Tier D)
Manufacturing,1579852.7,40.9,0.7,42372.6,350,2.03,37287.6,12335.8,48.5,43878.0,6434.84,447.4,32.7,High Risk (Tier D)
Commercial Office,335079.2,80.8,0.64,29895.3,240,3.06,5855.4,319.3,73.0,4776.7,635.61,134.5,65.7,Efficient (Tier B)
Commercial Office,27371.9,31.2,0.53,2384.9,240,2.68,7333.8,951.7,63.8,542.4,174.35,137.7,44.4,Moderate (Tier C)
Manufacturing,1273295.9,19.0,0.7,48662.2,300,3.97,37919.4,13192.5,60.1,38434.8,6430.35,314.0,41.0,Moderate (Tier C)
Commercial Office,417955.7,40.0,0.63,22800.7,240,4.27,3706.2,594.9,81.2,7750.3,1378.26,220.0,56.9,Efficient (Tier B)
Manufacturing,2834894.8,34.9,0.61,69491.7,350,3.03,30209.9,4980.6,48.8,64968.8,11377.36,489.5,36.8,Moderate (Tier C)
Commercial Office,425979.6,59.3,0.47,20181.0,260,3.65,6388.2,1537.2,51.5,3235.6,1335.69,253.3,53.5,Moderate (Tier C)
Manufacturing,642201.9,16.2,0.66,40519.2,250,3.86,21386.8,9862.1,30.4,21645.9,4729.07,190.2,36.9,Moderate (Tier C)
Commercial Office,42118.2,15.6,0.68,3973.8,240,4.16,6698.7,1170.9,85.1,1358.1,256.32,127.2,52.2,Moderate (Tier C)
Data Center,811904.3,87.7,0.76,18299.2,365,3.71,4228.5,1620.7,92.4,7039.3,624.55,532.4,68.2,Efficient (Tier B)
Healthcare,579794.8,43.2,0.78,20089.5,365,4.68,13392.2,1333.4,47.7,16714.5,2125.09,346.3,42.7,Moderate (Tier C)
Manufacturing,921322.6,25.7,0.8,22601.1,250,2.73,23473.7,6974.2,49.8,7049.9,4113.5,489.2,26.7,High Risk (Tier D)
Data Center,871277.3,72.3,0.8,17332.8,360,3.24,1243.8,203.6,68.3,10941.2,1535.36,603.2,57.2,Efficient (Tier B)
Manufacturing,358686.0,45.8,0.61,20488.6,350,3.78,40266.5,3457.9,27.7,17849.1,1910.54,210.1,47.4,Moderate (Tier C)
Healthcare,439959.5,44.3,0.69,15840.1,365,3.29,5478.8,2545.5,74.2,19393.5,1803.96,333.3,50.1,Moderate (Tier C)
Healthcare,906883.3,29.7,0.87,23345.2,365,4.16,7354.2,4718.7,50.1,14568.2,3672.23,466.2,41.4,Moderate (Tier C)
Data Center,573809.2,68.8,0.94,22262.3,360,4.21,1027.4,807.0,51.3,6360.4,1396.86,309.3,58.4,Efficient (Tier B)
Commercial Office,266439.0,65.5,0.52,12972.1,240,4.69,6323.7,1567.2,51.5,4633.5,771.15,246.5,59.0,Efficient (Tier B)
